Damaged_Parts,Severity,Cost_Repair_Euros
"Light, Fender, Door",severe,321
"Windshield, Dickey, Bumper, Fender, Door",minor,150
"Dickey, Bonnet",minor,52
"Bonnet, Light, Door, Fender, Dickey",minor,135
"Bumper, Dickey, Light, Fender, Door, Windshield",severe,828
"Dickey, Fender",minor,94
"Dickey, Bonnet, Windshield, Bumper, Fender, Light",moderate,306
Bumper,minor,35
"Bonnet, Dickey, Light, Bumper, Door, Windshield",moderate,324
"Fender, Dickey, Light",moderate,240
"Bumper, Door, Bonnet, Dickey",severe,420
"Windshield, Bumper, Fender, Light",severe,424
"Door, Bumper, Dickey, Windshield, Bonnet, Light",severe,870
"Bonnet, Light, Door, Dickey, Bumper",severe,675
"Windshield, Dickey, Fender, Bonnet",severe,460
"Dickey, Fender, Door, Windshield, Bonnet, Bumper",severe,816
"Fender, Bonnet, Dickey, Bumper, Light",moderate,405
"Windshield, Bonnet, Dickey, Door, Light, Fender, Bumper",minor,161
"Windshield, Dickey, Bonnet",severe,306
"Door, Light",minor,54
"Light, Bumper, Bonnet, Windshield",minor,136
Bonnet,severe,124
"Light, Dickey, Fender, Windshield, Bumper",moderate,415
"Dickey, Fender, Light, Windshield, Bonnet",severe,565
"Bonnet, Dickey",severe,250
Windshield,moderate,96
"Fender, Door, Dickey",moderate,165
"Bumper, Fender, Light, Dickey, Door, Windshield",moderate,324
"Bumper, Dickey, Windshield, Bonnet, Door, Light, Fender",severe,826
"Light, Bumper",moderate,130
Bumper,minor,31
"Dickey, Fender",severe,220
"Light, Bumper, Fender, Windshield, Bonnet, Dickey",minor,144
"Dickey, Bumper, Fender, Light, Door",minor,195
"Door, Bumper",severe,206
"Dickey, Door",severe,210
"Windshield, Bonnet",severe,266
"Fender, Light, Dickey, Windshield, Bumper, Bonnet, Door",moderate,693
"Dickey, Windshield",minor,98
"Bumper, Windshield, Light, Fender, Bonnet",minor,125
"Dickey, Door, Fender, Bonnet, Windshield, Bumper, Light",minor,252
"Fender, Bonnet, Bumper, Windshield",moderate,288
"Bonnet, Dickey, Door, Windshield, Light, Bumper",minor,300
"Fender, Windshield, Bonnet, Dickey, Bumper, Door, Light",moderate,651
Bumper,moderate,77
"Light, Bumper, Fender, Bonnet, Windshield",moderate,300
"Bonnet, Bumper, Windshield, Door",minor,160
"Windshield, Light, Door, Bumper, Fender",minor,110
"Light, Windshield, Bonnet, Fender, Bumper, Door",minor,276
"Door, Light",severe,290
"Bumper, Dickey, Windshield, Bonnet, Door, Fender",minor,174
"Light, Windshield, Door",minor,132
Bumper,minor,36
"Windshield, Door, Bumper, Dickey",severe,464
Door,moderate,86
"Bonnet, Light, Bumper, Dickey, Fender",moderate,345
"Bumper, Door",moderate,190
Windshield,moderate,60
"Bumper, Windshield, Dickey, Fender, Door, Bonnet, Light",minor,329
Light,minor,24
"Bumper, Light, Dickey, Fender, Windshield, Door",moderate,456
"Windshield, Fender",minor,96
"Light, Fender, Windshield, Door, Bonnet, Dickey, Bumper",minor,245
"Bonnet, Dickey, Windshield",minor,90
"Door, Fender, Bonnet, Dickey, Bumper, Light, Windshield",severe,812
"Windshield, Light, Dickey, Bonnet",severe,412
"Bumper, Fender, Bonnet, Dickey, Light",moderate,250
"Fender, Bumper, Door, Dickey, Light",severe,675
"Bonnet, Door, Fender",minor,93
Dickey,severe,130
"Windshield, Light, Bonnet, Bumper, Fender, Door",severe,894
"Dickey, Bonnet, Bumper, Light, Fender",severe,630
"Fender, Dickey, Door, Light, Windshield, Bumper",moderate,576
"Door, Bonnet, Dickey, Fender, Windshield, Light",minor,294
"Light, Fender, Door, Bumper",moderate,364
"Bonnet, Dickey, Bumper, Door",minor,188
"Bumper, Door",minor,76
"Bonnet, Dickey, Door, Light",minor,140
Fender,severe,122
"Dickey, Windshield",moderate,110
"Windshield, Bonnet, Bumper, Light, Dickey, Fender",moderate,498
"Bonnet, Bumper, Windshield, Light, Door",minor,190
"Light, Bumper, Windshield, Bonnet, Dickey, Door",severe,618
"Dickey, Bonnet",minor,76
"Fender, Dickey, Windshield, Bumper, Light, Door",severe,768
"Windshield, Bonnet",moderate,134
"Fender, Bumper, Dickey",minor,75
"Bonnet, Light, Bumper, Door, Windshield, Dickey",moderate,408
"Fender, Windshield",severe,212
"Door, Bonnet, Bumper, Fender, Light, Dickey, Windshield",minor,182
"Fender, Windshield, Bumper, Bonnet",moderate,304
"Bumper, Windshield, Fender, Light",moderate,276
Dickey,moderate,55
"Bonnet, Dickey, Windshield, Light, Door, Fender, Bumper",moderate,581
"Dickey, Fender, Windshield, Bumper",minor,176
"Bumper, Door, Light, Windshield, Dickey, Bonnet",severe,792
"Dickey, Light, Windshield, Bumper, Door, Fender",severe,660
"Windshield, Bumper, Door, Light, Dickey",minor,240
"Windshield, Door",moderate,112
"Bumper, Fender, Dickey, Door",minor,92
"Bonnet, Windshield, Dickey, Light, Fender, Bumper",severe,834
"Bonnet, Door, Fender, Dickey, Light, Bumper, Windshield",moderate,420
Light,severe,139
"Bonnet, Bumper, Windshield, Dickey, Light, Fender",minor,264
"Light, Bumper, Dickey, Fender",severe,500
"Dickey, Bonnet, Door, Light",minor,92
"Bonnet, Bumper, Door, Fender, Light, Windshield",severe,846
Bumper,moderate,92
"Bumper, Bonnet, Light, Door, Windshield",minor,195
"Bonnet, Windshield, Fender, Light, Dickey, Door, Bumper",moderate,371
"Windshield, Fender, Door",moderate,261
"Light, Door, Bumper, Bonnet, Windshield, Dickey",moderate,378
"Door, Bonnet, Windshield, Bumper, Dickey, Light, Fender",moderate,567
"Bonnet, Door, Fender, Dickey",minor,172
"Door, Windshield",moderate,136
"Bumper, Windshield, Door, Fender",moderate,244
"Light, Windshield, Dickey, Door",moderate,400
"Dickey, Fender, Windshield, Bumper, Light",moderate,360
"Dickey, Windshield",severe,282
"Light, Bumper, Windshield, Dickey, Bonnet, Door",moderate,528
"Bonnet, Fender, Dickey, Windshield, Door, Bumper",severe,864
Fender,moderate,84
"Dickey, Light, Bonnet, Bumper, Fender, Door",minor,126
"Door, Light, Dickey",severe,315
Light,minor,40
Light,severe,108
"Door, Dickey, Fender",moderate,156
"Bonnet, Dickey",moderate,198
"Bonnet, Bumper, Fender",moderate,297
"Door, Dickey, Light, Windshield",moderate,336
"Light, Fender, Door, Bonnet, Bumper, Windshield",moderate,498
"Windshield, Fender, Bonnet, Dickey",severe,596
"Door, Fender, Dickey, Light, Bumper",moderate,275
"Bumper, Bonnet, Windshield, Dickey",minor,104
"Dickey, Light, Door, Bonnet",severe,564
"Bumper, Door, Windshield, Light",moderate,252
"Windshield, Dickey, Fender",moderate,300
"Door, Dickey, Fender",severe,408
"Bumper, Windshield, Fender, Bonnet, Dickey",moderate,420
"Light, Dickey, Fender, Bumper, Door, Bonnet, Windshield",severe,966
"Door, Dickey, Fender",moderate,270
"Bonnet, Fender, Bumper, Windshield, Dickey",moderate,450
"Bonnet, Bumper, Door, Windshield",minor,136
"Dickey, Door, Bumper, Windshield, Light, Bonnet",minor,132
"Light, Door, Windshield, Bonnet, Dickey, Bumper, Fender",severe,966
"Bonnet, Door, Light, Windshield, Dickey",moderate,325
Light,severe,119
Fender,moderate,86
"Light, Bumper, Windshield, Door, Dickey, Fender",minor,282
Light,minor,36
"Dickey, Light, Bumper, Bonnet",severe,408
"Bumper, Windshield",minor,52
"Bumper, Windshield, Door, Bonnet, Fender",moderate,340
"Fender, Windshield, Bumper, Door, Light",severe,710
Fender,severe,116
"Door, Bumper, Fender, Bonnet",severe,436
"Fender, Dickey, Door",minor,135
"Dickey, Light, Door, Bumper, Bonnet, Fender",severe,708
"Dickey, Bumper, Door, Bonnet, Fender, Light, Windshield",minor,336
"Door, Windshield, Bonnet, Dickey, Bumper, Fender",severe,720
"Light, Windshield, Door, Bumper, Dickey, Bonnet",moderate,588
"Door, Windshield, Bumper, Fender, Bonnet",moderate,295
"Fender, Bonnet, Light, Bumper, Windshield, Door, Dickey",moderate,679
"Fender, Door",severe,278
"Bonnet, Dickey, Door, Fender, Bumper",severe,605
"Bumper, Bonnet, Windshield, Door, Light",minor,220
"Dickey, Door",severe,210
"Bonnet, Dickey, Fender, Bumper, Door, Windshield, Light",severe,854
"Windshield, Fender, Dickey, Bumper, Light",minor,195
"Door, Bumper, Bonnet, Fender, Light",minor,180
"Light, Bumper",severe,226
"Fender, Bumper",moderate,194
"Bumper, Bonnet, Windshield, Door, Fender",minor,105
"Fender, Door, Bumper, Bonnet, Dickey",severe,580
"Light, Windshield, Bumper, Dickey, Fender",moderate,420
"Bumper, Light, Bonnet, Dickey, Windshield, Door, Fender",moderate,567
"Fender, Door, Dickey, Light, Bonnet, Windshield, Bumper",moderate,588
"Bonnet, Dickey, Windshield, Light, Door, Bumper, Fender",minor,343
Windshield,minor,23
"Dickey, Light, Bonnet, Fender, Bumper",moderate,445
"Windshield, Door, Fender",severe,339
Door,severe,135
Light,moderate,50
"Dickey, Fender",minor,68
Windshield,moderate,89
"Bumper, Door, Light, Fender",moderate,244
"Windshield, Bonnet, Light, Door",severe,524
"Fender, Light",minor,84
"Bonnet, Dickey, Door, Fender, Bumper, Light",moderate,360
Fender,severe,108
"Bumper, Windshield, Fender, Bonnet, Dickey, Light, Door",minor,189
"Fender, Door, Light, Bonnet, Dickey",minor,180
Fender,moderate,57
Bonnet,minor,30
"Windshield, Dickey, Bonnet",moderate,156
"Door, Dickey, Light, Bonnet",moderate,256
"Door, Light",moderate,140
"Fender, Dickey, Bonnet",severe,405
"Light, Dickey, Door",severe,369
"Light, Windshield",minor,88
Bonnet,moderate,57
"Dickey, Windshield, Bumper, Door, Bonnet",severe,735
"Light, Bumper, Dickey",severe,339
"Light, Windshield",moderate,180
"Dickey, Light, Bonnet, Door, Bumper, Fender",minor,276
"Bumper, Bonnet, Dickey, Door, Fender",moderate,330
"Light, Windshield, Bonnet, Door, Fender",moderate,465
Bonnet,severe,125
"Fender, Windshield, Light",minor,135
"Bonnet, Windshield, Door, Dickey, Fender",minor,220
"Bonnet, Fender, Bumper, Windshield, Dickey",minor,125
Light,severe,135
"Bonnet, Dickey, Fender, Light",minor,108
"Bonnet, Door, Bumper, Dickey, Windshield",severe,700
Bumper,minor,50
"Bonnet, Fender, Dickey, Bumper",moderate,288
"Fender, Dickey, Bumper, Bonnet, Light, Windshield, Door",minor,252
"Bonnet, Door, Light",severe,351
"Bonnet, Windshield, Fender, Bumper, Door, Dickey, Light",minor,154
"Door, Fender, Light, Windshield",severe,596
"Bumper, Light, Bonnet, Fender",moderate,200
"Windshield, Door, Dickey, Bonnet, Bumper",moderate,255
"Bonnet, Bumper, Door, Dickey, Fender, Windshield",minor,216
Bonnet,minor,37
"Bumper, Door",minor,56
"Fender, Bonnet, Bumper, Door, Dickey, Windshield",moderate,522
"Dickey, Bumper, Door, Windshield, Fender",severe,730
"Bonnet, Dickey, Windshield, Door",moderate,396
"Windshield, Bumper, Bonnet, Light",severe,560
"Light, Fender, Bumper",minor,66
"Bonnet, Windshield, Dickey, Light, Bumper, Door, Fender",severe,749
Light,minor,36
"Light, Bonnet, Bumper, Fender, Dickey",severe,660
"Door, Fender, Windshield, Dickey, Light, Bumper, Bonnet",moderate,602
"Fender, Bonnet, Light, Windshield, Dickey, Door",moderate,522
"Dickey, Door, Bonnet",moderate,261
"Bonnet, Light",minor,88
"Windshield, Dickey, Bonnet, Fender, Door, Light",moderate,576
"Door, Windshield, Dickey, Bumper",severe,568
"Door, Bumper, Dickey, Fender",severe,548
"Light, Dickey",minor,90
"Bumper, Windshield, Light, Fender, Dickey",severe,555
"Door, Bonnet, Fender, Light, Windshield, Bumper, Dickey",severe,812
"Bonnet, Windshield, Door",minor,81
Fender,moderate,77
Bonnet,minor,43
"Bumper, Bonnet, Light, Door, Windshield, Dickey",severe,642
Bonnet,moderate,90
"Light, Bumper, Fender",minor,129
"Fender, Bonnet",severe,268
Dickey,moderate,87
"Windshield, Bumper, Light, Fender, Bonnet",moderate,495
"Door, Light, Windshield, Dickey, Bumper, Fender, Bonnet",severe,1029
"Dickey, Fender, Light, Door",minor,88
"Door, Bonnet, Light, Bumper",severe,592
"Fender, Bumper",minor,42
"Dickey, Door, Windshield",moderate,288
"Door, Bonnet, Fender, Light, Dickey",severe,640
"Dickey, Bonnet, Fender, Bumper, Light",moderate,355
"Light, Door, Bumper, Dickey, Fender",severe,555
"Bumper, Light, Dickey, Bonnet",severe,560
"Windshield, Bonnet, Bumper, Light, Fender, Door",minor,192
"Door, Bumper, Bonnet",moderate,219
"Fender, Bumper, Door, Windshield, Light, Bonnet",severe,864
"Door, Dickey, Bumper, Fender",moderate,288
"Door, Bumper, Light, Bonnet, Dickey, Windshield",minor,156
"Dickey, Door, Windshield, Fender, Light, Bumper, Bonnet",severe,875
"Bumper, Windshield, Door, Bonnet, Light, Fender, Dickey",severe,1029
"Fender, Bonnet, Door, Light, Bumper",severe,590
Door,minor,20
"Door, Bonnet, Light, Windshield, Fender, Bumper",minor,210
"Windshield, Dickey, Light, Bumper",moderate,372
Bumper,moderate,68
"Fender, Door, Light, Dickey, Bonnet",minor,110
"Bonnet, Bumper, Dickey",minor,81
"Dickey, Door, Windshield, Bumper",severe,544
Fender,severe,140
"Bonnet, Bumper, Door, Dickey, Fender, Light",moderate,504
"Light, Fender, Bumper, Bonnet, Dickey, Door",severe,690
"Light, Windshield, Door, Fender",moderate,232
"Fender, Windshield, Door, Bonnet",severe,464
"Dickey, Fender, Windshield, Door, Light, Bonnet, Bumper",minor,315
"Bonnet, Bumper, Windshield, Dickey, Door, Light",moderate,480
"Door, Dickey, Bumper, Bonnet, Windshield, Fender, Light",minor,252
"Dickey, Light, Bumper",minor,132
"Dickey, Door, Bonnet, Windshield",minor,132
"Windshield, Bonnet, Light, Bumper",minor,100
"Windshield, Door, Light, Bonnet",moderate,204
"Door, Windshield, Dickey, Fender, Light, Bonnet",severe,888
"Windshield, Bumper, Dickey, Light, Fender, Door",minor,288
Windshield,severe,130
"Fender, Bumper, Bonnet",minor,108
Dickey,minor,27
"Fender, Bumper, Door, Windshield",minor,84
"Fender, Dickey, Light, Bonnet, Door, Windshield, Bumper",severe,896
"Light, Door, Bonnet",moderate,219
"Bumper, Windshield, Dickey, Fender, Light, Bonnet",severe,894
"Windshield, Door, Light, Bonnet, Bumper",moderate,455
"Door, Bonnet, Fender, Dickey, Bumper, Light",moderate,414
"Windshield, Bonnet, Light",minor,72
"Door, Bumper, Light",severe,381
"Light, Dickey, Fender",severe,366
"Fender, Bumper, Bonnet",severe,447
"Door, Fender, Bumper, Bonnet, Light",moderate,325
"Fender, Windshield",moderate,148
Bonnet,moderate,88
Door,minor,24
"Fender, Bonnet, Bumper, Dickey",minor,132
"Bonnet, Fender, Light, Windshield, Bumper",minor,250
"Bumper, Bonnet, Light, Windshield",minor,148
"Dickey, Bonnet",moderate,154
"Dickey, Fender, Bumper, Door",moderate,372
"Bonnet, Door",minor,86
"Bumper, Windshield, Dickey, Light",severe,596
"Windshield, Door, Fender, Bumper, Dickey, Light, Bonnet",severe,819
"Door, Fender, Bonnet, Windshield, Light, Bumper",minor,168
"Fender, Windshield, Bonnet",moderate,165
"Dickey, Windshield",severe,238
"Light, Fender, Bumper, Bonnet, Dickey, Windshield, Door",moderate,511
"Bumper, Windshield",moderate,154
"Light, Windshield, Bonnet, Fender",minor,132
Dickey,severe,134
"Dickey, Fender, Light",moderate,228
"Door, Bonnet",minor,64
"Bumper, Windshield, Door, Bonnet, Dickey, Fender, Light",minor,161
"Fender, Dickey, Bumper",minor,120
"Windshield, Dickey, Light, Door",moderate,268
Dickey,moderate,84
"Bumper, Door",minor,68
"Bonnet, Windshield, Bumper, Light, Fender",moderate,290
"Bumper, Bonnet, Fender",moderate,201
"Windshield, Dickey, Light, Door",severe,528
"Bumper, Light, Door, Windshield, Dickey, Bonnet",minor,300
"Windshield, Door, Bonnet, Dickey, Light, Fender",severe,642
Windshield,severe,114
"Door, Light, Bonnet",moderate,270
Door,moderate,96
"Bonnet, Bumper, Fender",severe,351
"Light, Bonnet, Door, Bumper, Fender, Windshield",moderate,444
"Bumper, Fender, Windshield, Dickey, Door",severe,680
"Door, Light, Bumper, Windshield, Bonnet, Dickey, Fender",moderate,469
"Fender, Bumper",severe,226
Fender,minor,49
Bonnet,severe,140
"Door, Bumper, Windshield, Dickey, Fender, Light, Bonnet",minor,140
"Fender, Bumper, Light, Door",severe,504
"Bumper, Windshield, Bonnet, Door, Light",moderate,450
"Dickey, Bonnet, Windshield",minor,135
"Light, Windshield, Fender, Door",minor,144
"Bumper, Dickey, Light, Door, Bonnet, Fender, Windshield",severe,917
"Fender, Door, Light, Bumper, Windshield",minor,110
Bumper,severe,146
"Bonnet, Light, Fender, Windshield, Dickey, Door, Bumper",moderate,518
Dickey,minor,42
"Light, Fender, Bonnet, Windshield, Door",moderate,405
"Dickey, Light, Fender, Bonnet",minor,152
"Bumper, Bonnet, Windshield",moderate,162
"Fender, Windshield, Door",severe,303
"Windshield, Bonnet",moderate,158
"Windshield, Bonnet, Fender, Door",moderate,228
Fender,minor,22
Bumper,moderate,66
"Light, Windshield, Dickey, Bonnet",moderate,292
"Fender, Light",severe,252
"Dickey, Door",minor,76
"Light, Windshield, Door, Bumper",moderate,344
"Dickey, Windshield, Light, Bonnet, Fender, Door",severe,822
"Windshield, Bumper, Bonnet, Light, Fender, Dickey",minor,270
"Bumper, Door, Windshield",minor,69
"Light, Windshield, Bonnet, Fender, Bumper",minor,105
"Fender, Door, Bonnet, Dickey",severe,448
"Fender, Door",severe,290
"Light, Dickey, Windshield",minor,75
"Bumper, Fender, Door",severe,300
"Fender, Dickey, Door",minor,66
Bonnet,moderate,61
"Fender, Bonnet, Door, Bumper, Windshield",moderate,395
"Fender, Light, Windshield, Bumper, Dickey",minor,240
"Bonnet, Dickey",moderate,166
"Windshield, Light, Bumper, Dickey, Bonnet",minor,190
Bumper,moderate,64
"Fender, Bonnet",severe,300
"Light, Bonnet",moderate,190
"Bonnet, Bumper, Light, Fender, Windshield",moderate,390
"Door, Fender",moderate,152
"Dickey, Bumper, Windshield",severe,450
"Door, Bonnet, Light, Dickey, Bumper, Windshield",minor,168
"Door, Light, Bumper, Dickey",severe,472
"Dickey, Light, Fender, Bumper, Bonnet, Windshield, Door",moderate,637
"Fender, Light",minor,72
"Fender, Bumper",minor,98
"Windshield, Bumper, Door, Bonnet, Dickey, Light, Fender",severe,903
"Bumper, Bonnet, Fender, Door, Dickey",severe,630
"Door, Light, Dickey, Fender, Bumper",minor,245
Fender,moderate,64
"Light, Fender, Door, Bonnet, Bumper, Windshield, Dickey",moderate,371
"Windshield, Bonnet, Dickey, Fender, Light, Door",severe,726
Windshield,moderate,68
"Fender, Light",moderate,192
"Door, Windshield, Fender, Dickey, Light",severe,745
Bumper,moderate,52
"Bumper, Windshield, Bonnet, Light, Door",minor,150
"Bonnet, Door, Windshield, Bumper, Fender, Light",minor,138
"Dickey, Windshield, Door, Bumper, Light",minor,115
Bumper,severe,120
"Dickey, Light, Door, Bumper",severe,428
Bonnet,severe,102
Windshield,severe,131
"Windshield, Bumper, Dickey",severe,303
"Bonnet, Bumper, Door, Dickey, Fender",moderate,480
"Light, Fender, Windshield",severe,399
"Door, Fender, Dickey, Bonnet, Bumper, Windshield",severe,654
"Bonnet, Light, Windshield, Dickey, Fender, Door",minor,210
"Fender, Door",moderate,200
"Windshield, Fender",minor,48
"Windshield, Fender, Bonnet, Light, Door, Bumper, Dickey",severe,966
"Bumper, Light, Fender, Windshield, Bonnet",moderate,430
"Door, Light, Fender, Dickey, Bumper",minor,135
"Bumper, Door, Bonnet, Windshield, Fender",severe,740
"Bumper, Windshield, Door, Bonnet, Dickey, Light",severe,630
Door,severe,147
"Dickey, Bonnet, Light, Door, Fender",severe,640
"Dickey, Windshield, Light, Bumper, Door",moderate,350
"Light, Door, Bonnet, Dickey, Bumper, Fender",severe,600
"Bonnet, Light, Bumper, Door",minor,80
"Bonnet, Door, Light, Bumper",minor,196
"Windshield, Dickey, Bonnet, Light, Door, Bumper, Fender",minor,196
"Door, Windshield, Light, Dickey, Fender, Bonnet, Bumper",severe,756
"Bumper, Light",minor,52
"Windshield, Bonnet, Door, Bumper, Dickey",minor,145
"Light, Bumper, Fender, Dickey, Door",moderate,380
"Light, Bonnet",minor,84
"Fender, Light, Bonnet, Windshield, Bumper, Door",severe,762
"Windshield, Fender",moderate,100
"Bonnet, Fender, Dickey, Door, Light",minor,200
